date,OT,is_holiday,in_CS,is_CS,is_need,is_make,is_active,is_public
2025-12-30 20:00:00,517.0,0,0.6132478632478633,2,1,0,0,0.0
2025-12-30 21:00:00,516.0,0,0.6137820512820513,2,1,0,0,0.0
2025-12-30 22:00:00,519.0,0,0.6143162393162394,2,1,0,0,0.0
2025-12-30 23:00:00,518.0,0,0.6148504273504274,2,1,0,0,0.0
2025-12-31 00:00:00,516.0,0,0.6153846153846154,2,1,0,0,0.0
2025-12-31 01:00:00,503.0,0,0.6159188034188035,2,1,0,0,0.0
2025-12-31 02:00:00,512.0,0,0.6164529914529915,2,1,0,0,0.0
2025-12-31 03:00:00,525.0,0,0.6169871794871795,2,1,0,0,0.0
2025-12-31 04:00:00,527.0,0,0.6175213675213675,2,1,0,0,0.0
2025-12-31 05:00:00,525.0,0,0.6180555555555556,2,1,0,0,0.0
2025-12-31 06:00:00,520.0,0,0.6185897435897436,2,1,0,0,0.0
2025-12-31 07:00:00,520.0,0,0.6191239316239316,2,1,0,0,0.0
2025-12-31 08:00:00,521.0,0,0.6196581196581197,2,1,0,0,0.0
2025-12-31 09:00:00,523.0,0,0.6201923076923077,2,1,0,0,0.0
2025-12-31 10:00:00,518.0,0,0.6207264957264957,2,1,0,0,0.0
2025-12-31 11:00:00,524.0,0,0.6212606837606838,2,1,0,0,0.0
2025-12-31 12:00:00,529.0,0,0.6217948717948718,2,1,0,0,0.0
2025-12-31 13:00:00,536.0,0,0.6223290598290598,2,1,0,0,0.0
2025-12-31 14:00:00,541.5,0,0.6228632478632479,2,1,0,0,0.0
2025-12-31 15:00:00,547.0,0,0.6233974358974359,2,1,0,0,0.0
2025-12-31 16:00:00,546.0,0,0.6239316239316239,2,1,0,0,0.0
2025-12-31 17:00:00,537.0,0,0.624465811965812,2,1,0,0,0.0
2025-12-31 18:00:00,551.0,0,0.625,2,1,0,0,0.0
2025-12-31 19:00:00,569.0,0,0.625534188034188,2,1,0,0,0.0
2025-12-31 20:00:00,590.0,0,0.6260683760683761,2,1,0,0,0.0
2025-12-31 21:00:00,612.0,0,0.6266025641025641,2,1,0,0,0.0
2025-12-31 22:00:00,689.0,0,0.6271367521367521,2,1,0,0,0.0
2025-12-31 23:00:00,679.0,0,0.6276709401709402,2,1,0,0,0.0
2026-01-01 00:00:00,681.0,1,0.6282051282051282,2,1,0,0,0.0
2026-01-01 01:00:00,671.0,1,0.6287393162393162,2,1,0,0,0.0
2026-01-01 02:00:00,631.0,1,0.6292735042735043,2,1,0,0,0.0
2026-01-01 03:00:00,603.0,1,0.6298076923076923,2,1,0,0,0.0
2026-01-01 04:00:00,612.0,1,0.6303418803418803,2,1,0,0,0.0
2026-01-01 05:00:00,599.0,1,0.6308760683760684,2,1,0,0,0.0
2026-01-01 06:00:00,622.0,1,0.6314102564102564,2,1,0,0,0.0
2026-01-01 07:00:00,601.0,1,0.6319444444444444,2,1,0,0,0.0
2026-01-01 08:00:00,588.0,1,0.6324786324786325,2,1,0,0,0.0
2026-01-01 09:00:00,583.0,1,0.6330128205128205,2,1,0,0,0.0
2026-01-01 10:00:00,652.0,1,0.6335470085470085,2,1,0,0,0.0
2026-01-01 11:00:00,679.0,1,0.6340811965811965,2,1,0,0,0.0
2026-01-01 12:00:00,693.0,1,0.6346153846153846,2,1,0,0,0.0
2026-01-01 13:00:00,717.0,1,0.6351495726495726,2,1,0,0,0.0
2026-01-01 14:00:00,717.0,1,0.6356837606837606,2,1,0,0,0.0
2026-01-01 15:00:00,710.0,1,0.6362179487179487,2,1,0,0,0.0
2026-01-01 16:00:00,696.0,1,0.6367521367521367,2,1,0,0,0.0
2026-01-01 17:00:00,708.0,1,0.6372863247863247,2,1,0,0,0.0
2026-01-01 18:00:00,727.0,1,0.6378205128205128,2,1,0,0,0.0
2026-01-01 19:00:00,717.0,1,0.6383547008547008,2,1,0,0,0.0
2026-01-01 20:00:00,712.0,1,0.6388888888888888,2,1,0,0,0.0
2026-01-01 21:00:00,707.0,1,0.6394230769230769,2,1,0,0,0.0
2026-01-01 22:00:00,735.0,1,0.6399572649572649,2,1,0,0,0.0
2026-01-01 23:00:00,730.0,1,0.6404914529914529,2,1,0,0,0.0
2026-01-02 00:00:00,717.0,1,0.6410256410256411,2,1,0,0,0.0
2026-01-02 01:00:00,630.0,1,0.6415598290598291,2,1,0,0,0.0
2026-01-02 02:00:00,596.0,1,0.6420940170940171,2,1,0,0,0.0
2026-01-02 03:00:00,585.0,1,0.6426282051282052,2,1,0,0,0.0
2026-01-02 04:00:00,564.0,1,0.6431623931623932,2,1,0,0,0.0
2026-01-02 05:00:00,555.0,1,0.6436965811965812,2,1,0,0,0.0
2026-01-02 06:00:00,562.0,1,0.6442307692307693,2,1,0,0,0.0
2026-01-02 07:00:00,541.0,1,0.6447649572649573,2,1,0,0,0.0
2026-01-02 08:00:00,520.0,1,0.6452991452991453,2,1,0,0,0.0
2026-01-02 09:00:00,532.0,1,0.6458333333333334,2,1,0,0,0.0
2026-01-02 10:00:00,594.0,1,0.6463675213675214,2,1,0,0,0.0
2026-01-02 11:00:00,616.0,1,0.6469017094017094,2,1,0,0,0.0
2026-01-02 12:00:00,667.0,1,0.6474358974358975,2,1,0,0,0.0
2026-01-02 13:00:00,704.0,1,0.6479700854700855,2,1,0,0,0.0
2026-01-02 14:00:00,734.0,1,0.6485042735042735,2,1,0,0,0.0
2026-01-02 15:00:00,736.0,1,0.6490384615384616,2,1,0,0,0.0
2026-01-02 16:00:00,759.0,1,0.6495726495726496,2,1,0,0,0.0
2026-01-02 17:00:00,768.0,1,0.6501068376068376,2,1,0,0,0.0
2026-01-02 18:00:00,773.0,1,0.6506410256410257,2,1,0,0,0.0
2026-01-02 19:00:00,775.0,1,0.6511752136752137,2,1,0,0,0.0
2026-01-02 20:00:00,760.0,1,0.6517094017094017,2,1,0,0,0.0
2026-01-02 21:00:00,733.0,1,0.6522435897435898,2,1,0,0,0.0
2026-01-02 22:00:00,763.0,1,0.6527777777777778,2,1,0,0,0.0
2026-01-02 23:00:00,767.0,1,0.6533119658119658,2,1,0,0,0.0
2026-01-03 00:00:00,766.0,1,0.6538461538461539,2,1,0,0,0.0
2026-01-03 01:00:00,702.0,1,0.6543803418803419,2,1,0,0,0.0
2026-01-03 02:00:00,656.0,1,0.6549145299145299,2,1,0,0,0.0
2026-01-03 03:00:00,610.0,1,0.655448717948718,2,1,0,0,0.0
2026-01-03 04:00:00,611.0,1,0.655982905982906,2,1,0,0,0.0
2026-01-03 05:00:00,612.0,1,0.656517094017094,2,1,0,0,0.0
2026-01-03 06:00:00,598.0,1,0.657051282051282,2,1,0,0,0.0
2026-01-03 07:00:00,601.0,1,0.6575854700854701,2,1,0,0,0.0
2026-01-03 08:00:00,591.0,1,0.6581196581196581,2,1,0,0,0.0
2026-01-03 09:00:00,619.0,1,0.6586538461538461,2,1,0,0,0.0
2026-01-03 10:00:00,615.0,1,0.6591880341880342,2,1,0,0,0.0
2026-01-03 11:00:00,670.0,1,0.6597222222222222,2,1,0,0,0.0
2026-01-03 12:00:00,727.0,1,0.6602564102564102,2,1,0,0,0.0
2026-01-03 13:00:00,757.0,1,0.6607905982905983,2,1,0,0,0.0
2026-01-03 14:00:00,775.0,1,0.6613247863247863,2,1,0,0,0.0
2026-01-03 15:00:00,775.0,1,0.6618589743589743,2,1,0,0,0.0
2026-01-03 16:00:00,776.0,1,0.6623931623931624,2,1,0,0,0.0
2026-01-03 17:00:00,777.0,1,0.6629273504273504,2,1,0,0,0.0
2026-01-03 18:00:00,775.0,1,0.6634615384615384,2,1,0,0,0.0
2026-01-03 19:00:00,773.0,1,0.6639957264957265,2,1,0,0,0.0
2026-01-03 20:00:00,762.0,1,0.6645299145299145,2,1,0,0,0.0
2026-01-03 21:00:00,741.0,1,0.6650641025641025,2,1,0,0,0.0
2026-01-03 22:00:00,755.0,1,0.6655982905982906,2,1,0,0,0.0
2026-01-03 23:00:00,742.0,1,0.6661324786324786,2,1,0,0,0.0
2026-01-04 00:00:00,644.0,0,0.6666666666666666,2,1,0,0,0.0
2026-01-04 01:00:00,577.0,0,0.6672008547008547,2,1,0,0,0.0
2026-01-04 02:00:00,570.0,0,0.6677350427350427,2,1,0,0,0.0
2026-01-04 03:00:00,597.0,0,0.6682692307692307,2,1,0,0,0.0
2026-01-04 04:00:00,594.0,0,0.6688034188034188,2,1,0,0,0.0
2026-01-04 05:00:00,590.0,0,0.6693376068376068,2,1,0,0,0.0
2026-01-04 06:00:00,584.0,0,0.6698717948717948,2,1,0,0,0.0
2026-01-04 07:00:00,584.0,0,0.6704059829059829,2,1,0,0,0.0
2026-01-04 08:00:00,596.0,0,0.6709401709401709,2,1,0,0,0.0
2026-01-04 09:00:00,587.0,0,0.6714743589743589,2,1,0,0,0.0
2026-01-04 10:00:00,567.0,0,0.6720085470085471,2,1,0,0,0.0
2026-01-04 11:00:00,549.0,0,0.6725427350427351,2,1,0,0,0.0
2026-01-04 12:00:00,543.0,0,0.6730769230769231,2,1,0,0,0.0
2026-01-04 13:00:00,560.0,0,0.6736111111111112,2,1,0,0,0.0
