时间戳,时间,均价,数据类型
1769432400000,2026-01-26 21:00:00,622,sampled
1769443200000,2026-01-27 00:00:00,616,sampled
1769454000000,2026-01-27 03:00:00,540,sampled
1769464800000,2026-01-27 06:00:00,535,sampled
1769475600000,2026-01-27 09:00:00,522,sampled
1769486400000,2026-01-27 12:00:00,541,sampled
1769497200000,2026-01-27 15:00:00,542,sampled
1769508000000,2026-01-27 18:00:00,574,sampled
1769520600000,2026-01-27 21:30:00,624,sampled
1769529600000,2026-01-28 00:00:00,639,sampled
1769540400000,2026-01-28 03:00:00,558,sampled
1769551200000,2026-01-28 06:00:00,532,sampled
1769560200000,2026-01-28 08:30:00,548,sampled
1769572800000,2026-01-28 12:00:00,552,sampled
1769583600000,2026-01-28 15:00:00,570,sampled
1769594400000,2026-01-28 18:00:00,625,sampled
1769605200000,2026-01-28 21:00:00,641,sampled
1769616000000,2026-01-29 00:00:00,639,sampled
1769626800000,2026-01-29 03:00:00,534,sampled
1769637600000,2026-01-29 06:00:00,510,sampled
1769648400000,2026-01-29 09:00:00,520,sampled
1769659200000,2026-01-29 12:00:00,534,sampled
1769670000000,2026-01-29 15:00:00,554,sampled
1769680800000,2026-01-29 18:00:00,592,sampled
1769691600000,2026-01-29 21:00:00,623,sampled
1769702400000,2026-01-30 00:00:00,639,sampled
1769713200000,2026-01-30 03:00:00,542,sampled
1769724000000,2026-01-30 06:00:00,532,sampled
1769734800000,2026-01-30 09:00:00,555,sampled
1769743800000,2026-01-30 11:30:00,566,sampled
1769756400000,2026-01-30 15:00:00,635,sampled
1769767200000,2026-01-30 18:00:00,677,sampled
1769778000000,2026-01-30 21:00:00,755,sampled
1769788800000,2026-01-31 00:00:00,867,sampled
1769799600000,2026-01-31 03:00:00,728,sampled
1769810400000,2026-01-31 06:00:00,634,sampled
1769821200000,2026-01-31 09:00:00,745,sampled
1769832000000,2026-01-31 12:00:00,775,sampled
1769842800000,2026-01-31 15:00:00,886,sampled
1769853600000,2026-01-31 18:00:00,934,sampled
1769864400000,2026-01-31 21:00:00,921,sampled
1769875200000,2026-02-01 00:00:00,945,sampled
