时间戳,时间,均价,数据类型
1769929200000,2026-02-01 15:00:00,1926,sampled
1769940000000,2026-02-01 18:00:00,1999,sampled
1769949000000,2026-02-01 20:30:00,2111,sampled
1769961600000,2026-02-02 00:00:00,2167,sampled
1769972400000,2026-02-02 03:00:00,1790,sampled
1769983200000,2026-02-02 06:00:00,1831,sampled
1769994000000,2026-02-02 09:00:00,1852,sampled
1770004800000,2026-02-02 12:00:00,1854,sampled
1770015600000,2026-02-02 15:00:00,1887,sampled
1770026400000,2026-02-02 18:00:00,1925,sampled
1770037200000,2026-02-02 21:00:00,1955,sampled
1770046200000,2026-02-02 23:30:00,1985,sampled
1770057000000,2026-02-03 02:30:00,2091,sampled
1770069600000,2026-02-03 06:00:00,1787,sampled
1770080400000,2026-02-03 09:00:00,1819,sampled
1770091200000,2026-02-03 12:00:00,1835,sampled
1770102000000,2026-02-03 15:00:00,1858,sampled
1770112800000,2026-02-03 18:00:00,1928,sampled
1770123600000,2026-02-03 21:00:00,1945,sampled
1770134400000,2026-02-04 00:00:00,2109,sampled
1770145200000,2026-02-04 03:00:00,1793,sampled
1770156000000,2026-02-04 06:00:00,1778,sampled
1770166800000,2026-02-04 09:00:00,1821,sampled
1770177600000,2026-02-04 12:00:00,1856,sampled
1770188400000,2026-02-04 15:00:00,1878,sampled
1770199200000,2026-02-04 18:00:00,1913,sampled
1770210000000,2026-02-04 21:00:00,1973,sampled
1770220800000,2026-02-05 00:00:00,2113,sampled
1770231600000,2026-02-05 03:00:00,1787,sampled
1770242400000,2026-02-05 06:00:00,1824,sampled
1770253200000,2026-02-05 09:00:00,1854,sampled
1770264000000,2026-02-05 12:00:00,1857,sampled
1770274800000,2026-02-05 15:00:00,1891,sampled
1770285600000,2026-02-05 18:00:00,1941,sampled
1770296400000,2026-02-05 21:00:00,2018,sampled
1770307200000,2026-02-06 00:00:00,2123,sampled
1770318000000,2026-02-06 03:00:00,1790,sampled
1770328800000,2026-02-06 06:00:00,1791,sampled
1770339600000,2026-02-06 09:00:00,1819,sampled
1770348600000,2026-02-06 11:30:00,1817,sampled
1770361200000,2026-02-06 15:00:00,1856,sampled
1770372000000,2026-02-06 18:00:00,1916,sampled
1770382800000,2026-02-06 21:00:00,1954,sampled
1770393600000,2026-02-07 00:00:00,2004,sampled
1770404400000,2026-02-07 03:00:00,1804,sampled
1770415200000,2026-02-07 06:00:00,1805,sampled
1770426000000,2026-02-07 09:00:00,1816,sampled
1770436800000,2026-02-07 12:00:00,1833,sampled
1770445800000,2026-02-07 14:30:00,1858,sampled
1770458400000,2026-02-07 18:00:00,1928,sampled
1770469200000,2026-02-07 21:00:00,1957,sampled
1770480000000,2026-02-08 00:00:00,2043,sampled
1770490800000,2026-02-08 03:00:00,1864,sampled
1770501600000,2026-02-08 06:00:00,1784,sampled
