时间戳,时间,均价,数据类型
1767337200000,2026-01-02 15:00:00,4582,sampled
1767348000000,2026-01-02 18:00:00,4796,sampled
1767358800000,2026-01-02 21:00:00,4787,sampled
1767369600000,2026-01-03 00:00:00,4788,sampled
1767380400000,2026-01-03 03:00:00,4773,sampled
1767391200000,2026-01-03 06:00:00,4859,sampled
1767402000000,2026-01-03 09:00:00,5011,sampled
1767412800000,2026-01-03 12:00:00,4573,sampled
1767423600000,2026-01-03 15:00:00,4579,sampled
1767434400000,2026-01-03 18:00:00,4798,sampled
1767445200000,2026-01-03 21:00:00,4867,sampled
1767456000000,2026-01-04 00:00:00,4792,sampled
1767466800000,2026-01-04 03:00:00,4796,sampled
1767477600000,2026-01-04 06:00:00,4905,sampled
1767488400000,2026-01-04 09:00:00,4883,sampled
1767499200000,2026-01-04 12:00:00,4572,sampled
1767510000000,2026-01-04 15:00:00,4574,sampled
1767520800000,2026-01-04 18:00:00,4800,sampled
1767531600000,2026-01-04 21:00:00,4822,sampled
1767542400000,2026-01-05 00:00:00,4794,sampled
1767553200000,2026-01-05 03:00:00,4779,sampled
1767564000000,2026-01-05 06:00:00,4906,sampled
1767574800000,2026-01-05 09:00:00,4909,sampled
1767585600000,2026-01-05 12:00:00,4573,sampled
1767596400000,2026-01-05 15:00:00,4572,sampled
1767607200000,2026-01-05 18:00:00,4723,sampled
1767618000000,2026-01-05 21:00:00,4780,sampled
1767628800000,2026-01-06 00:00:00,4789,sampled
1767639600000,2026-01-06 03:00:00,4755,sampled
1767650400000,2026-01-06 06:00:00,4849,sampled
1767661200000,2026-01-06 09:00:00,4902,sampled
1767672000000,2026-01-06 12:00:00,4528,sampled
1767682800000,2026-01-06 15:00:00,4570,sampled
1767693600000,2026-01-06 18:00:00,4678,sampled
1767704400000,2026-01-06 21:00:00,4781,sampled
1767715200000,2026-01-07 00:00:00,4789,sampled
1767726000000,2026-01-07 03:00:00,4759,sampled
1767736800000,2026-01-07 06:00:00,4826,sampled
1767747600000,2026-01-07 09:00:00,4893,sampled
1767758400000,2026-01-07 12:00:00,4571,sampled
1767769200000,2026-01-07 15:00:00,4496,sampled
1767780000000,2026-01-07 18:00:00,4777,sampled
1767790800000,2026-01-07 21:00:00,4780,sampled
1767801600000,2026-01-08 00:00:00,4788,sampled
1767812400000,2026-01-08 03:00:00,4778,sampled
1767823200000,2026-01-08 06:00:00,4819,sampled
1767834000000,2026-01-08 09:00:00,4910,sampled
1767844800000,2026-01-08 12:00:00,4576,sampled
1767855600000,2026-01-08 15:00:00,4577,sampled
1767866400000,2026-01-08 18:00:00,4787,sampled
1767877200000,2026-01-08 21:00:00,4754,sampled
1767888000000,2026-01-09 00:00:00,4703,sampled
1767898800000,2026-01-09 03:00:00,4779,sampled
1767909600000,2026-01-09 06:00:00,4988,sampled
1767920400000,2026-01-09 09:00:00,4922,sampled
1767931200000,2026-01-09 12:00:00,4575,sampled
1767942000000,2026-01-09 15:00:00,4574,sampled
1767952800000,2026-01-09 18:00:00,4740,sampled
1767963600000,2026-01-09 21:00:00,4775,sampled
1767974400000,2026-01-10 00:00:00,4783,sampled
1767985200000,2026-01-10 03:00:00,4798,sampled
1767996000000,2026-01-10 06:00:00,4817,sampled
1768006800000,2026-01-10 09:00:00,4797,sampled
1768017600000,2026-01-10 12:00:00,4576,sampled
1768028400000,2026-01-10 15:00:00,4576,sampled
1768039200000,2026-01-10 18:00:00,4740,sampled
1768050000000,2026-01-10 21:00:00,4777,sampled
1768060800000,2026-01-11 00:00:00,4782,sampled
1768071600000,2026-01-11 03:00:00,4796,sampled
1768082400000,2026-01-11 06:00:00,4816,sampled
1768093200000,2026-01-11 09:00:00,4802,sampled
1768104000000,2026-01-11 12:00:00,4580,sampled
1768114800000,2026-01-11 15:00:00,4584,sampled
1768125600000,2026-01-11 18:00:00,4791,sampled
1768136400000,2026-01-11 21:00:00,4779,sampled
1768147200000,2026-01-12 00:00:00,4786,sampled
1768158000000,2026-01-12 03:00:00,4800,sampled
1768168800000,2026-01-12 06:00:00,4817,sampled
1768179600000,2026-01-12 09:00:00,4792,sampled
1768190400000,2026-01-12 12:00:00,4583,sampled
1768201200000,2026-01-12 15:00:00,4580,sampled
1768210200000,2026-01-12 17:30:00,4731,sampled
1768224600000,2026-01-12 21:30:00,4781,sampled
1768233600000,2026-01-13 00:00:00,4790,sampled
1768244400000,2026-01-13 03:00:00,4800,sampled
1768255200000,2026-01-13 06:00:00,4816,sampled
1768266000000,2026-01-13 09:00:00,4841,sampled
1768276800000,2026-01-13 12:00:00,4578,sampled
1768287600000,2026-01-13 15:00:00,4574,sampled
1768298400000,2026-01-13 18:00:00,4785,sampled
1768307400000,2026-01-13 20:30:00,4787,sampled
1768320000000,2026-01-14 00:00:00,4788,sampled
1768330800000,2026-01-14 03:00:00,4802,sampled
1768341600000,2026-01-14 06:00:00,4825,sampled
1768352400000,2026-01-14 09:00:00,4874,sampled
1768363200000,2026-01-14 12:00:00,4578,sampled
1768374000000,2026-01-14 15:00:00,4577,sampled
1768384800000,2026-01-14 18:00:00,4794,sampled
1768395600000,2026-01-14 21:00:00,4777,sampled
1768406400000,2026-01-15 00:00:00,4286,sampled
1768417200000,2026-01-15 03:00:00,4512,sampled
1768428000000,2026-01-15 06:00:00,4795,sampled
1768438800000,2026-01-15 09:00:00,4711,sampled
1768449600000,2026-01-15 12:00:00,4299,sampled
1768460400000,2026-01-15 15:00:00,4278,sampled
1768471200000,2026-01-15 18:00:00,4394,sampled
1768482000000,2026-01-15 21:00:00,4510,sampled
1768492800000,2026-01-16 00:00:00,4472,sampled
