时间戳,时间,均价,数据类型
1766817000000,2025-12-27 14:30:00,3490,sampled
1766829600000,2025-12-27 18:00:00,3660,sampled
1766840400000,2025-12-27 21:00:00,3602,sampled
1766849400000,2025-12-27 23:30:00,3602,sampled
1766862000000,2025-12-28 03:00:00,3608,sampled
1766872800000,2025-12-28 06:00:00,3659,sampled
1766883600000,2025-12-28 09:00:00,3638,sampled
1766894400000,2025-12-28 12:00:00,3433,sampled
1766905200000,2025-12-28 15:00:00,3541,sampled
1766916000000,2025-12-28 18:00:00,3659,sampled
1766926800000,2025-12-28 21:00:00,3598,sampled
1766937600000,2025-12-29 00:00:00,3605,sampled
1766948400000,2025-12-29 03:00:00,3605,sampled
1766959200000,2025-12-29 06:00:00,3656,sampled
1766970000000,2025-12-29 09:00:00,3610,sampled
1766980800000,2025-12-29 12:00:00,3455,sampled
1766989800000,2025-12-29 14:30:00,3488,sampled
1767002400000,2025-12-29 18:00:00,3660,sampled
1767013200000,2025-12-29 21:00:00,3620,sampled
1767024000000,2025-12-30 00:00:00,3645,sampled
1767034800000,2025-12-30 03:00:00,3656,sampled
1767045600000,2025-12-30 06:00:00,3658,sampled
1767054600000,2025-12-30 08:30:00,3655,sampled
1767067200000,2025-12-30 12:00:00,3439,sampled
1767078000000,2025-12-30 15:00:00,3490,sampled
1767088800000,2025-12-30 18:00:00,3662,sampled
1767099600000,2025-12-30 21:00:00,3595,sampled
1767110400000,2025-12-31 00:00:00,3640,sampled
1767121200000,2025-12-31 03:00:00,3657,sampled
1767132000000,2025-12-31 06:00:00,3660,sampled
1767142800000,2025-12-31 09:00:00,3637,sampled
1767153600000,2025-12-31 12:00:00,3438,sampled
1767164400000,2025-12-31 15:00:00,3500,sampled
1767175200000,2025-12-31 18:00:00,3674,sampled
1767186000000,2025-12-31 21:00:00,3558,sampled
1767196800000,2026-01-01 00:00:00,3590,sampled
1767207600000,2026-01-01 03:00:00,3639,sampled
1767218400000,2026-01-01 06:00:00,3663,sampled
1767229200000,2026-01-01 09:00:00,3682,sampled
1767240000000,2026-01-01 12:00:00,3384,sampled
1767250800000,2026-01-01 15:00:00,3437,sampled
1767261600000,2026-01-01 18:00:00,3712,sampled
1767272400000,2026-01-01 21:00:00,3605,sampled
1767283200000,2026-01-02 00:00:00,3559,sampled
1767294000000,2026-01-02 03:00:00,3577,sampled
1767304800000,2026-01-02 06:00:00,3662,sampled
1767315600000,2026-01-02 09:00:00,3651,sampled
1767326400000,2026-01-02 12:00:00,3383,sampled
1767337200000,2026-01-02 15:00:00,3492,sampled
1767348000000,2026-01-02 18:00:00,3708,sampled
1767358800000,2026-01-02 21:00:00,3629,sampled
1767369600000,2026-01-03 00:00:00,3620,sampled
1767380400000,2026-01-03 03:00:00,3551,sampled
1767391200000,2026-01-03 06:00:00,3662,sampled
1767402000000,2026-01-03 09:00:00,3649,sampled
1767412800000,2026-01-03 12:00:00,3383,sampled
1767423600000,2026-01-03 15:00:00,3436,sampled
1767434400000,2026-01-03 18:00:00,3699,sampled
1767445200000,2026-01-03 21:00:00,3602,sampled
1767456000000,2026-01-04 00:00:00,3607,sampled
1767466800000,2026-01-04 03:00:00,3552,sampled
1767477600000,2026-01-04 06:00:00,3554,sampled
1767488400000,2026-01-04 09:00:00,3619,sampled
1767499200000,2026-01-04 12:00:00,3375,sampled
1767510000000,2026-01-04 15:00:00,3423,sampled
1767520800000,2026-01-04 18:00:00,3663,sampled
1767531600000,2026-01-04 21:00:00,3559,sampled
1767542400000,2026-01-05 00:00:00,3614,sampled
1767553200000,2026-01-05 03:00:00,3600,sampled
1767564000000,2026-01-05 06:00:00,3658,sampled
1767574800000,2026-01-05 09:00:00,3446,sampled
1767585600000,2026-01-05 12:00:00,3321,sampled
