时间戳,时间,均价,数据类型
1766817000000,2025-12-27 14:30:00,518,sampled
1766829600000,2025-12-27 18:00:00,633,sampled
1766840400000,2025-12-27 21:00:00,628,sampled
1766849400000,2025-12-27 23:30:00,630,sampled
1766862000000,2025-12-28 03:00:00,526,sampled
1766872800000,2025-12-28 06:00:00,537,sampled
1766883600000,2025-12-28 09:00:00,526,sampled
1766894400000,2025-12-28 12:00:00,589,sampled
1766905200000,2025-12-28 15:00:00,633,sampled
1766916000000,2025-12-28 18:00:00,631,sampled
1766926800000,2025-12-28 21:00:00,611,sampled
1766937600000,2025-12-29 00:00:00,572,sampled
1766948400000,2025-12-29 03:00:00,507,sampled
1766959200000,2025-12-29 06:00:00,506,sampled
1766970000000,2025-12-29 09:00:00,490,sampled
1766980800000,2025-12-29 12:00:00,509,sampled
1766989800000,2025-12-29 14:30:00,508,sampled
1767002400000,2025-12-29 18:00:00,504,sampled
1767013200000,2025-12-29 21:00:00,505,sampled
1767024000000,2025-12-30 00:00:00,508,sampled
1767034800000,2025-12-30 03:00:00,491,sampled
1767045600000,2025-12-30 06:00:00,487,sampled
1767054600000,2025-12-30 08:30:00,483,sampled
1767067200000,2025-12-30 12:00:00,500,sampled
1767078000000,2025-12-30 15:00:00,504,sampled
1767088800000,2025-12-30 18:00:00,507,sampled
1767099600000,2025-12-30 21:00:00,506,sampled
1767110400000,2025-12-31 00:00:00,507,sampled
1767121200000,2025-12-31 03:00:00,499,sampled
1767132000000,2025-12-31 06:00:00,501,sampled
1767142800000,2025-12-31 09:00:00,502,sampled
1767153600000,2025-12-31 12:00:00,508,sampled
1767164400000,2025-12-31 15:00:00,510,sampled
1767175200000,2025-12-31 18:00:00,510,sampled
1767186000000,2025-12-31 21:00:00,514,sampled
1767196800000,2026-01-01 00:00:00,516,sampled
1767207600000,2026-01-01 03:00:00,526,sampled
1767218400000,2026-01-01 06:00:00,508,sampled
1767229200000,2026-01-01 09:00:00,511,sampled
1767240000000,2026-01-01 12:00:00,638,sampled
1767250800000,2026-01-01 15:00:00,651,sampled
1767261600000,2026-01-01 18:00:00,651,sampled
1767272400000,2026-01-01 21:00:00,646,sampled
1767283200000,2026-01-02 00:00:00,647,sampled
1767294000000,2026-01-02 03:00:00,516,sampled
1767304800000,2026-01-02 06:00:00,507,sampled
1767315600000,2026-01-02 09:00:00,505,sampled
1767326400000,2026-01-02 12:00:00,526,sampled
1767337200000,2026-01-02 15:00:00,596,sampled
1767348000000,2026-01-02 18:00:00,630,sampled
1767358800000,2026-01-02 21:00:00,610,sampled
