date,4.6x30mm AP SX,4.6x30mm FMJ SX,4.6x30mm Subsonic SX,is_holiday,in_CS,is_CS,is_need,is_make,is_active,is_public
2025-09-11 10:00:00,3062.0,1570.0,308.0,0,0.06592039800995025,1,0,0,0,0.0
2025-09-11 11:00:00,3062.0,1570.0,297.0,0,0.06654228855721393,1,0,0,0,0.0
2025-09-11 12:00:00,3062.0,1551.0,312.0,0,0.06716417910447761,1,0,0,0,0.0
2025-09-11 13:00:00,3090.0,1608.0,312.0,0,0.06778606965174129,1,0,0,0,0.0
2025-09-11 14:00:00,3117.0,1620.0,301.0,0,0.06840796019900497,1,0,0,0,0.0
2025-09-11 15:00:00,3227.0,1633.0,305.0,0,0.06902985074626866,1,0,0,0,0.0
2025-09-11 16:00:00,3310.0,1645.0,297.0,0,0.06965174129353234,1,0,0,0,0.0
2025-09-11 17:00:00,3337.0,1670.0,305.0,0,0.07027363184079602,1,0,0,0,0.0
2025-09-11 18:00:00,3296.0,1651.0,308.0,0,0.0708955223880597,1,0,0,0,0.0
2025-09-11 19:00:00,3145.0,1645.0,308.0,0,0.07151741293532338,1,0,0,0,0.0
2025-09-11 20:00:00,3172.0,1670.0,312.0,0,0.07213930348258707,1,0,0,0,0.0
2025-09-11 21:00:00,3213.0,1670.0,338.0,0,0.07276119402985075,1,0,0,0,0.0
2025-09-11 22:00:00,3282.0,1658.0,342.0,0,0.07338308457711443,1,0,0,0,0.0
2025-09-11 23:00:00,3323.0,1639.0,293.0,0,0.0740049751243781,1,0,0,0,0.0
2025-09-12 00:00:00,3310.0,1483.0,260.0,0,0.07462686567164178,1,0,0,0,0.0
2025-09-12 01:00:00,3241.0,1489.0,290.0,0,0.07524875621890548,1,0,0,0,0.0
2025-09-12 02:00:00,3337.0,1389.0,308.0,0,0.07587064676616916,1,0,0,0,0.0
2025-09-12 03:00:00,3310.0,1408.0,305.0,0,0.07649253731343283,1,0,0,0,0.0
2025-09-12 04:00:00,3323.0,1495.0,301.0,0,0.07711442786069651,1,0,0,0,0.0
2025-09-12 05:00:00,3282.0,1508.0,282.0,0,0.07773631840796019,1,0,0,0,0.0
2025-09-12 06:00:00,3172.0,1495.0,286.0,0,0.07835820895522388,1,0,0,0,0.0
2025-09-12 07:00:00,3007.0,1495.0,293.0,0,0.07898009950248756,1,0,0,0,0.0
2025-09-12 08:00:00,2966.0,1458.0,278.0,0,0.07960199004975124,1,0,0,0,0.0
2025-09-12 09:00:00,2938.0,1476.0,290.0,0,0.08022388059701492,1,0,0,0,0.0
2025-09-12 10:00:00,3007.0,1495.0,293.0,0,0.08084577114427861,1,0,0,0,0.0
2025-09-12 11:00:00,2993.0,1520.0,271.0,0,0.08146766169154229,1,0,0,0,0.0
2025-09-12 12:00:00,2966.0,1526.0,290.0,0,0.08208955223880597,1,0,0,0,0.0
2025-09-12 13:00:00,3007.0,1545.0,312.0,0,0.08271144278606965,1,0,0,0,0.0
2025-09-12 14:00:00,3021.0,1551.0,278.0,0,0.08333333333333333,1,0,0,0,0.0
2025-09-12 15:00:00,3131.0,1595.0,293.0,0,0.08395522388059702,1,0,0,0,0.0
2025-09-12 16:00:00,3241.0,1620.0,293.0,0,0.0845771144278607,1,0,0,0,0.0
2025-09-12 17:00:00,3282.0,1620.0,297.0,0,0.08519900497512438,1,0,0,0,0.0
2025-09-12 18:00:00,3172.0,1620.0,297.0,0,0.08582089552238806,1,0,0,0,0.0
2025-09-12 19:00:00,3048.0,1620.0,312.0,0,0.08644278606965174,1,0,0,0,0.0
2025-09-12 20:00:00,3062.0,1620.0,380.0,0,0.08706467661691543,1,0,0,0,0.0
2025-09-12 21:00:00,3062.0,1620.0,402.0,0,0.08768656716417911,1,0,0,0,0.0
2025-09-12 22:00:00,3117.0,1645.0,398.0,0,0.08830845771144279,1,0,0,0,0.0
2025-09-12 23:00:00,3227.0,1601.0,335.0,0,0.08893034825870647,1,0,0,0,0.0
2025-09-13 00:00:00,3227.0,1564.0,305.0,1,0.08955223880597014,1,0,0,0,0.0
2025-09-13 01:00:00,3227.0,1433.0,301.0,1,0.09017412935323384,1,0,0,0,0.0
2025-09-13 02:00:00,3227.0,1395.0,286.0,1,0.09079601990049752,1,0,0,0,0.0
2025-09-13 03:00:00,3131.0,1420.0,297.0,1,0.0914179104477612,1,0,0,0,0.0
2025-09-13 04:00:00,3227.0,1445.0,271.0,1,0.09203980099502487,1,0,0,0,0.0
2025-09-13 05:00:00,3172.0,1433.0,278.0,1,0.09266169154228855,1,0,0,0,0.0
2025-09-13 06:00:00,3172.0,1433.0,290.0,1,0.09328358208955224,1,0,0,0,0.0
2025-09-13 07:00:00,3007.0,1433.0,297.0,1,0.09390547263681592,1,0,0,0,0.0
2025-09-13 08:00:00,3007.0,1495.0,335.0,1,0.0945273631840796,1,0,0,0,0.0
2025-09-13 09:00:00,2952.0,1545.0,380.0,1,0.09514925373134328,1,0,0,0,0.0
2025-09-13 10:00:00,3007.0,1558.0,402.0,1,0.09577114427860696,1,0,0,0,0.0
2025-09-13 11:00:00,3117.0,1595.0,432.0,1,0.09639303482587065,1,0,0,0,0.0
2025-09-13 12:00:00,3062.0,1608.0,432.0,1,0.09701492537313433,1,0,0,0,0.0
2025-09-13 13:00:00,3117.0,1639.0,432.0,1,0.09763681592039801,1,0,0,0,0.0
2025-09-13 14:00:00,3227.0,1664.0,447.0,1,0.09825870646766169,1,0,0,0,0.0
2025-09-13 15:00:00,3227.0,1670.0,451.0,1,0.09888059701492537,1,0,0,0,0.0
2025-09-13 16:00:00,3282.0,1664.0,462.0,1,0.09950248756218906,1,0,0,0,0.0
2025-09-13 17:00:00,3282.0,1689.0,447.0,1,0.10012437810945274,1,0,0,0,0.0
2025-09-13 18:00:00,3241.0,1695.0,432.0,1,0.10074626865671642,1,0,0,0,0.0
2025-09-13 19:00:00,3117.0,1670.0,402.0,1,0.1013681592039801,1,0,0,0,0.0
2025-09-13 20:00:00,3172.0,1695.0,402.0,1,0.10199004975124377,1,0,0,0,0.0
2025-09-13 21:00:00,3172.0,1695.0,402.0,1,0.10261194029850747,1,0,0,0,0.0
2025-09-13 22:00:00,3172.0,1695.0,387.0,1,0.10323383084577115,1,0,0,0,0.0
2025-09-13 23:00:00,3172.0,1670.0,335.0,1,0.10385572139303482,1,0,0,0,0.0
2025-09-14 00:00:00,3172.0,1595.0,320.0,1,0.1044776119402985,1,0,0,0,0.0
2025-09-14 01:00:00,3145.0,1445.0,312.0,1,0.10509950248756218,1,0,0,0,0.0
2025-09-14 02:00:00,3227.0,1408.0,323.0,1,0.10572139303482588,1,0,0,0,0.0
2025-09-14 03:00:00,3200.0,1420.0,305.0,1,0.10634328358208955,1,0,0,0,0.0
2025-09-14 04:00:00,3282.0,1420.0,301.0,1,0.10696517412935323,1,0,0,0,0.0
2025-09-14 05:00:00,3227.0,1445.0,312.0,1,0.10758706467661691,1,0,0,0,0.0
2025-09-14 06:00:00,3145.0,1426.0,312.0,1,0.10820895522388059,1,0,0,0,0.0
2025-09-14 07:00:00,2993.0,1445.0,338.0,1,0.10883084577114428,1,0,0,0,0.0
2025-09-14 08:00:00,2966.0,1426.0,335.0,1,0.10945273631840796,1,0,0,0,0.0
2025-09-14 09:00:00,3007.0,1445.0,391.0,1,0.11007462686567164,1,0,0,0,0.0
2025-09-14 10:00:00,3062.0,1545.0,432.0,1,0.11069651741293532,1,0,0,0,0.0
2025-09-14 11:00:00,3076.0,1570.0,432.0,1,0.11131840796019901,1,0,0,0,0.0
2025-09-14 12:00:00,3035.0,1595.0,425.0,1,0.11194029850746269,1,0,0,0,0.0
2025-09-14 13:00:00,3117.0,1595.0,440.0,1,0.11256218905472637,1,0,0,0,0.0
2025-09-14 14:00:00,3200.0,1645.0,440.0,1,0.11318407960199005,1,0,0,0,0.0
2025-09-14 15:00:00,3282.0,1645.0,447.0,1,0.11380597014925373,1,0,0,0,0.0
2025-09-14 16:00:00,3282.0,1658.0,447.0,1,0.11442786069651742,1,0,0,0,0.0
2025-09-14 17:00:00,3255.0,1670.0,417.0,1,0.1150497512437811,1,0,0,0,0.0
2025-09-14 18:00:00,3227.0,1620.0,398.0,1,0.11567164179104478,1,0,0,0,0.0
2025-09-14 19:00:00,3117.0,1595.0,350.0,1,0.11629353233830846,1,0,0,0,0.0
2025-09-14 20:00:00,3076.0,1620.0,338.0,1,0.11691542288557213,1,0,0,0,0.0
2025-09-14 21:00:00,3172.0,1608.0,327.0,1,0.11753731343283583,1,0,0,0,0.0
2025-09-14 22:00:00,3172.0,1595.0,316.0,1,0.1181592039800995,1,0,0,0,0.0
2025-09-14 23:00:00,3186.0,1539.0,308.0,1,0.11878109452736318,1,0,0,0,0.0
2025-09-15 00:00:00,3209.0,1428.0,312.0,0,0.11940298507462686,1,0,0,0,0.0
2025-09-15 01:00:00,3186.0,1389.0,312.0,0,0.12002487562189054,1,0,0,0,0.0
2025-09-15 02:00:00,3186.0,1358.0,308.0,0,0.12064676616915423,1,0,0,0,0.0
2025-09-15 03:00:00,3227.0,1370.0,297.0,0,0.12126865671641791,1,0,0,0,0.0
2025-09-15 04:00:00,3227.0,1395.0,301.0,0,0.12189054726368159,1,0,0,0,0.0
2025-09-15 05:00:00,3186.0,1389.0,297.0,0,0.12251243781094527,1,0,0,0,0.0
2025-09-15 06:00:00,3117.0,1376.0,282.0,0,0.12313432835820895,1,0,0,0,0.0
2025-09-15 07:00:00,3021.0,1364.0,308.0,0,0.12375621890547264,1,0,0,0,0.0
2025-09-15 08:00:00,2980.0,1370.0,290.0,0,0.12437810945273632,1,0,0,0,0.0
2025-09-15 09:00:00,3090.0,1420.0,301.0,0,0.125,1,0,0,0,0.0
2025-09-15 10:00:00,3103.0,1420.0,297.0,0,0.1256218905472637,1,0,0,0,0.0
2025-09-15 11:00:00,3090.0,1420.0,297.0,0,0.12624378109452736,1,0,0,0,0.0
2025-09-15 12:00:00,3048.0,1420.0,282.0,0,0.12686567164179105,1,0,0,0,0.0
2025-09-15 13:00:00,3035.0,1414.0,301.0,0,0.12748756218905472,1,0,0,0,0.0
2025-09-15 14:00:00,3103.0,1414.0,286.0,0,0.1281094527363184,1,0,0,0,0.0
2025-09-15 15:00:00,3117.0,1433.0,312.0,0,0.1287313432835821,1,0,0,0,0.0
2025-09-15 16:00:00,3213.0,1445.0,286.0,0,0.12935323383084577,1,0,0,0,0.0
2025-09-15 17:00:00,3200.0,1445.0,290.0,0,0.12997512437810946,1,0,0,0,0.0
2025-09-15 18:00:00,3117.0,1445.0,290.0,0,0.13059701492537312,1,0,0,0,0.0
2025-09-15 19:00:00,3117.0,1445.0,286.0,0,0.13121890547263682,1,0,0,0,0.0
2025-09-15 20:00:00,3117.0,1420.0,301.0,0,0.1318407960199005,1,0,0,0,0.0
2025-09-15 21:00:00,3145.0,1433.0,297.0,0,0.13246268656716417,1,0,0,0,0.0
2025-09-15 22:00:00,3213.0,1451.0,308.0,0,0.13308457711442787,1,0,0,0,0.0
2025-09-15 23:00:00,3213.0,1470.0,286.0,0,0.13370646766169153,1,0,0,0,0.0
2025-09-16 00:00:00,3172.0,1426.0,293.0,0,0.13432835820895522,1,0,0,0,0.0
2025-09-16 01:00:00,3213.0,1345.0,308.0,0,0.13495024875621892,1,0,0,0,0.0
2025-09-16 02:00:00,3200.0,1345.0,290.0,0,0.13557213930348258,1,0,0,0,0.0
2025-09-16 03:00:00,3145.0,1358.0,305.0,0,0.13619402985074627,1,0,0,0,0.0
2025-09-16 04:00:00,3227.0,1370.0,305.0,0,0.13681592039800994,1,0,0,0,0.0
2025-09-16 05:00:00,3145.0,1370.0,305.0,0,0.13743781094527363,1,0,0,0,0.0
2025-09-16 06:00:00,3213.0,1351.0,308.0,0,0.13805970149253732,1,0,0,0,0.0
2025-09-16 07:00:00,3062.0,1326.0,308.0,0,0.138681592039801,1,0,0,0,0.0
2025-09-16 08:00:00,3021.0,1389.0,301.0,0,0.13930348258706468,1,0,0,0,0.0
2025-09-16 09:00:00,3021.0,1351.0,308.0,0,0.13992537313432835,1,0,0,0,0.0
2025-09-16 10:00:00,3035.0,1383.0,327.0,0,0.14054726368159204,1,0,0,0,0.0
2025-09-16 11:00:00,3062.0,1395.0,342.0,0,0.14116915422885573,1,0,0,0,0.0
2025-09-16 12:00:00,3048.0,1389.0,365.0,0,0.1417910447761194,1,0,0,0,0.0
2025-09-16 13:00:00,3090.0,1420.0,391.0,0,0.1424129353233831,1,0,0,0,0.0
2025-09-16 14:00:00,3186.0,1414.0,376.0,0,0.14303482587064675,1,0,0,0,0.0
2025-09-16 15:00:00,3145.0,1445.0,383.0,0,0.14365671641791045,1,0,0,0,0.0
2025-09-16 16:00:00,3186.0,1445.0,372.0,0,0.14427860696517414,1,0,0,0,0.0
2025-09-16 17:00:00,3186.0,1470.0,387.0,0,0.1449004975124378,1,0,0,0,0.0
2025-09-16 18:00:00,3117.0,1470.0,368.0,0,0.1455223880597015,1,0,0,0,0.0
2025-09-16 19:00:00,3117.0,1495.0,365.0,0,0.14614427860696516,1,0,0,0,0.0
2025-09-16 20:00:00,3227.0,1483.0,398.0,0,0.14676616915422885,1,0,0,0,0.0
2025-09-16 21:00:00,3227.0,1526.0,402.0,0,0.14738805970149255,1,0,0,0,0.0
2025-09-16 22:00:00,3282.0,1545.0,406.0,0,0.1480099502487562,1,0,0,0,0.0
2025-09-16 23:00:00,3255.0,1545.0,417.0,0,0.1486318407960199,1,0,0,0,0.0
2025-09-17 00:00:00,3255.0,1520.0,402.0,0,0.14925373134328357,1,0,0,0,0.0
