时间戳,时间,均价,数据类型
1769054400000,2026-01-22 12:00:00,370,sampled
1769065200000,2026-01-22 15:00:00,410,sampled
1769076000000,2026-01-22 18:00:00,438,sampled
1769086800000,2026-01-22 21:00:00,460,sampled
1769151600000,2026-01-23 15:00:00,401,recent
1769155200000,2026-01-23 16:00:00,410,recent
1769158800000,2026-01-23 17:00:00,410,recent
1769162400000,2026-01-23 18:00:00,410,recent
1769166000000,2026-01-23 19:00:00,424,recent
1769169600000,2026-01-23 20:00:00,439,recent
1769173200000,2026-01-23 21:00:00,450,recent
1769176800000,2026-01-23 22:00:00,459,recent
1769180400000,2026-01-23 23:00:00,467,recent
1769184000000,2026-01-24 00:00:00,471,recent
1769187600000,2026-01-24 01:00:00,471,recent
1769191200000,2026-01-24 02:00:00,470,recent
1769194800000,2026-01-24 03:00:00,387,recent
1769202000000,2026-01-24 05:00:00,389,recent
1769205600000,2026-01-24 06:00:00,395,recent
1769216400000,2026-01-24 09:00:00,401,recent
1769220000000,2026-01-24 10:00:00,393,recent
1769223600000,2026-01-24 11:00:00,377,recent
1769227200000,2026-01-24 12:00:00,387,recent
1769230800000,2026-01-24 13:00:00,402,recent
1769234400000,2026-01-24 14:00:00,401,recent
1769238000000,2026-01-24 15:00:00,423,recent
1769241600000,2026-01-24 16:00:00,447,recent
1769245200000,2026-01-24 17:00:00,462,recent
1769248800000,2026-01-24 18:00:00,472,recent
1769252400000,2026-01-24 19:00:00,472,recent
1769259600000,2026-01-24 21:00:00,477,recent
1769263200000,2026-01-24 22:00:00,481,recent
1769266800000,2026-01-24 23:00:00,480,recent
1769270400000,2026-01-25 00:00:00,479,recent
1769274000000,2026-01-25 01:00:00,480,recent
1769277600000,2026-01-25 02:00:00,480,recent
1769281200000,2026-01-25 03:00:00,392,recent
1769284800000,2026-01-25 04:00:00,387,recent
1769288400000,2026-01-25 05:00:00,383,recent
1769292000000,2026-01-25 06:00:00,391,recent
1769295600000,2026-01-25 07:00:00,395,recent
1769299200000,2026-01-25 08:00:00,401,recent
1769302800000,2026-01-25 09:00:00,401,recent
1769306400000,2026-01-25 10:00:00,402,recent
1769310000000,2026-01-25 11:00:00,394,recent
1769313600000,2026-01-25 12:00:00,390,recent
1769317200000,2026-01-25 13:00:00,402,recent
