时间戳,时间,均价,数据类型
1769670000000,2026-01-29 15:00:00,556,sampled
1769680800000,2026-01-29 18:00:00,586,sampled
1769691600000,2026-01-29 21:00:00,604,sampled
1769702400000,2026-01-30 00:00:00,673,sampled
1769713200000,2026-01-30 03:00:00,507,sampled
1769724000000,2026-01-30 06:00:00,503,sampled
1769734800000,2026-01-30 09:00:00,439,sampled
1769745600000,2026-01-30 12:00:00,518,sampled
1769756400000,2026-01-30 15:00:00,540,sampled
1769767200000,2026-01-30 18:00:00,569,sampled
1769778000000,2026-01-30 21:00:00,589,sampled
1769788800000,2026-01-31 00:00:00,653,sampled
1769799600000,2026-01-31 03:00:00,527,sampled
1769810400000,2026-01-31 06:00:00,538,sampled
1769821200000,2026-01-31 09:00:00,553,sampled
1769832000000,2026-01-31 12:00:00,559,sampled
1769842800000,2026-01-31 15:00:00,587,sampled
1769853600000,2026-01-31 18:00:00,637,sampled
1769864400000,2026-01-31 21:00:00,673,sampled
1769875200000,2026-02-01 00:00:00,689,sampled
1769886000000,2026-02-01 03:00:00,531,sampled
1769896800000,2026-02-01 06:00:00,536,sampled
1769907600000,2026-02-01 09:00:00,538,sampled
1769918400000,2026-02-01 12:00:00,544,sampled
1769929200000,2026-02-01 15:00:00,570,recent
1769932800000,2026-02-01 16:00:00,574,recent
1769936400000,2026-02-01 17:00:00,585,recent
1769940000000,2026-02-01 18:00:00,586,recent
1769943600000,2026-02-01 19:00:00,598,recent
1769947200000,2026-02-01 20:00:00,597,recent
1769954400000,2026-02-01 22:00:00,598,recent
1769958000000,2026-02-01 23:00:00,613,recent
1769961600000,2026-02-02 00:00:00,628,recent
1769965200000,2026-02-02 01:00:00,640,recent
1769968800000,2026-02-02 02:00:00,639,recent
1769972400000,2026-02-02 03:00:00,508,recent
1769976000000,2026-02-02 04:00:00,505,recent
1769979600000,2026-02-02 05:00:00,515,recent
1769983200000,2026-02-02 06:00:00,520,recent
1769986800000,2026-02-02 07:00:00,518,recent
1769990400000,2026-02-02 08:00:00,521,recent
1769994000000,2026-02-02 09:00:00,521,recent
1769997600000,2026-02-02 10:00:00,521,recent
1770001200000,2026-02-02 11:00:00,522,recent
1770004800000,2026-02-02 12:00:00,531,recent
1770008400000,2026-02-02 13:00:00,539,recent
1770012000000,2026-02-02 14:00:00,539,recent
1770015600000,2026-02-02 15:00:00,549,recent
1770019200000,2026-02-02 16:00:00,554,recent
1770022800000,2026-02-02 17:00:00,555,recent
1770026400000,2026-02-02 18:00:00,568,recent
1770030000000,2026-02-02 19:00:00,568,recent
1770033600000,2026-02-02 20:00:00,568,recent
1770037200000,2026-02-02 21:00:00,582,recent
1770040800000,2026-02-02 22:00:00,583,recent
1770044400000,2026-02-02 23:00:00,584,recent
1770051600000,2026-02-03 01:00:00,595,recent
1770055200000,2026-02-03 02:00:00,594,recent
1770062400000,2026-02-03 04:00:00,497,recent
1770066000000,2026-02-03 05:00:00,506,recent
1770069600000,2026-02-03 06:00:00,506,recent
1770073200000,2026-02-03 07:00:00,505,recent
1770076800000,2026-02-03 08:00:00,506,recent
1770080400000,2026-02-03 09:00:00,519,recent
1770084000000,2026-02-03 10:00:00,520,recent
1770087600000,2026-02-03 11:00:00,523,recent
1770091200000,2026-02-03 12:00:00,524,recent
1770094800000,2026-02-03 13:00:00,530,recent
