date,.357 Magnum 9号霰射鼠弹,.357 Magnum FMJ,.357 Magnum HP,.357 Magnum JHP
2025-09-08 23:00:00,208.0,455.0,136.0,359.0
2025-09-09 00:00:00,208.0,523.0,136.0,404.0
2025-09-09 01:00:00,178.0,500.0,136.0,364.0
2025-09-09 02:00:00,183.0,500.0,136.0,369.0
2025-09-09 03:00:00,183.0,523.0,136.0,389.0
2025-09-09 04:00:00,183.0,455.0,136.0,319.0
2025-09-09 05:00:00,188.0,568.0,136.0,369.0
2025-09-09 06:00:00,188.0,590.0,136.0,409.0
2025-09-09 07:00:00,188.0,500.0,136.0,404.0
2025-09-09 08:00:00,188.0,489.0,136.0,424.0
2025-09-09 09:00:00,188.0,523.0,136.0,359.0
2025-09-09 10:00:00,183.0,500.0,136.0,389.0
2025-09-09 11:00:00,188.0,523.0,136.0,384.0
2025-09-09 12:00:00,193.0,500.0,136.0,359.0
2025-09-09 13:00:00,193.0,466.0,136.0,389.0
2025-09-09 14:00:00,193.0,466.0,136.0,374.0
2025-09-09 15:00:00,193.0,489.0,136.0,339.0
2025-09-09 16:00:00,193.0,523.0,136.0,379.0
2025-09-09 17:00:00,198.0,466.0,136.0,349.0
2025-09-09 18:00:00,198.0,500.0,136.0,379.0
2025-09-09 19:00:00,198.0,455.0,136.0,379.0
2025-09-09 20:00:00,201.0,489.0,136.0,419.0
2025-09-09 21:00:00,203.0,478.0,136.0,409.0
2025-09-09 22:00:00,203.0,500.0,136.0,414.0
2025-09-09 23:00:00,206.0,500.0,136.0,374.0
2025-09-10 00:00:00,202.0,534.0,136.0,339.0
2025-09-10 01:00:00,181.0,500.0,136.0,364.0
2025-09-10 02:00:00,183.0,455.0,136.0,374.0
2025-09-10 03:00:00,183.0,478.0,136.0,379.0
2025-09-10 04:00:00,178.0,455.0,136.0,409.0
2025-09-10 05:00:00,183.0,455.0,136.0,379.0
2025-09-10 06:00:00,183.0,545.0,136.0,399.0
2025-09-10 07:00:00,183.0,489.0,136.0,409.0
2025-09-10 08:00:00,188.0,545.0,136.0,354.0
2025-09-10 09:00:00,188.0,478.0,136.0,389.0
2025-09-10 10:00:00,188.0,500.0,136.0,364.0
2025-09-10 11:00:00,188.0,500.0,136.0,374.0
2025-09-10 12:00:00,188.0,478.0,136.0,349.0
2025-09-10 13:00:00,193.0,500.0,136.0,419.0
2025-09-10 14:00:00,193.0,466.0,136.0,414.0
2025-09-10 15:00:00,193.0,523.0,136.0,399.0
2025-09-10 16:00:00,194.0,489.0,136.0,364.0
2025-09-10 17:00:00,198.0,478.0,136.0,349.0
2025-09-10 18:00:00,198.0,545.0,136.0,409.0
2025-09-10 19:00:00,198.0,500.0,136.0,404.0
2025-09-10 20:00:00,203.0,466.0,136.0,404.0
2025-09-10 21:00:00,203.0,545.0,136.0,409.0
2025-09-10 22:00:00,203.0,500.0,136.0,404.0
2025-09-10 23:00:00,208.0,478.0,136.0,349.0
2025-09-11 00:00:00,207.0,568.0,136.0,344.0
2025-09-11 01:00:00,183.0,489.0,136.0,359.0
2025-09-11 02:00:00,183.0,455.0,136.0,419.0
2025-09-11 03:00:00,183.0,478.0,136.0,409.0
2025-09-11 04:00:00,178.0,478.0,136.0,339.0
2025-09-11 05:00:00,183.0,489.0,136.0,349.0
2025-09-11 06:00:00,188.0,489.0,136.0,359.0
2025-09-11 07:00:00,186.0,500.0,136.0,369.0
2025-09-11 08:00:00,187.0,500.0,136.0,394.0
2025-09-11 09:00:00,188.0,500.0,136.0,409.0
2025-09-11 10:00:00,186.0,500.0,136.0,364.0
2025-09-11 11:00:00,188.0,500.0,136.0,339.0
2025-09-11 12:00:00,188.0,455.0,136.0,374.0
2025-09-11 13:00:00,193.0,511.0,136.0,384.0
2025-09-11 14:00:00,193.0,489.0,136.0,379.0
2025-09-11 15:00:00,193.0,478.0,136.0,379.0
2025-09-11 16:00:00,196.0,500.0,136.0,339.0
2025-09-11 17:00:00,198.0,511.0,136.0,389.0
2025-09-11 18:00:00,198.0,500.0,136.0,374.0
2025-09-11 19:00:00,203.0,500.0,136.0,494.0
2025-09-11 20:00:00,203.0,478.0,136.0,489.0
2025-09-11 21:00:00,203.0,478.0,136.0,429.0
2025-09-11 22:00:00,204.0,489.0,136.0,404.0
2025-09-11 23:00:00,208.0,489.0,136.0,389.0
2025-09-12 00:00:00,196.0,523.0,136.0,394.0
2025-09-12 01:00:00,177.0,500.0,136.0,389.0
2025-09-12 02:00:00,178.0,568.0,136.0,369.0
2025-09-12 03:00:00,178.0,500.0,136.0,384.0
2025-09-12 04:00:00,183.0,478.0,136.0,354.0
2025-09-12 05:00:00,183.0,500.0,136.0,344.0
2025-09-12 06:00:00,183.0,489.0,136.0,359.0
2025-09-12 07:00:00,183.0,455.0,136.0,359.0
2025-09-12 08:00:00,182.0,489.0,136.0,359.0
2025-09-12 09:00:00,182.0,500.0,136.0,329.0
2025-09-12 10:00:00,183.0,500.0,136.0,384.0
2025-09-12 11:00:00,183.0,523.0,136.0,369.0
2025-09-12 12:00:00,188.0,489.0,136.0,384.0
2025-09-12 13:00:00,188.0,489.0,136.0,389.0
2025-09-12 14:00:00,189.0,455.0,136.0,379.0
2025-09-12 15:00:00,193.0,455.0,136.0,384.0
2025-09-12 16:00:00,193.0,489.0,136.0,359.0
2025-09-12 17:00:00,193.0,466.0,136.0,389.0
2025-09-12 18:00:00,198.0,500.0,136.0,419.0
2025-09-12 19:00:00,201.0,478.0,136.0,429.0
2025-09-12 20:00:00,203.0,500.0,136.0,489.0
