时间戳,时间,均价,数据类型
1769670000000,2026-01-29 15:00:00,2181,sampled
1769680800000,2026-01-29 18:00:00,2431,sampled
1769691600000,2026-01-29 21:00:00,2855,sampled
1769702400000,2026-01-30 00:00:00,3028,sampled
1769713200000,2026-01-30 03:00:00,2398,sampled
1769724000000,2026-01-30 06:00:00,1868,sampled
1769734800000,2026-01-30 09:00:00,2351,sampled
1769745600000,2026-01-30 12:00:00,2450,sampled
1769756400000,2026-01-30 15:00:00,2749,sampled
1769767200000,2026-01-30 18:00:00,2951,sampled
1769778000000,2026-01-30 21:00:00,2965,sampled
1769788800000,2026-01-31 00:00:00,3045,sampled
1769799600000,2026-01-31 03:00:00,2507,sampled
1769810400000,2026-01-31 06:00:00,2235,sampled
1769821200000,2026-01-31 09:00:00,2785,sampled
1769832000000,2026-01-31 12:00:00,2808,sampled
1769842800000,2026-01-31 15:00:00,2878,sampled
1769853600000,2026-01-31 18:00:00,2999,sampled
1769864400000,2026-01-31 21:00:00,2880,sampled
1769875200000,2026-02-01 00:00:00,2954,sampled
1769886000000,2026-02-01 03:00:00,2415,sampled
1769896800000,2026-02-01 06:00:00,2265,sampled
1769907600000,2026-02-01 09:00:00,2759,sampled
1769918400000,2026-02-01 12:00:00,2729,sampled
1769929200000,2026-02-01 15:00:00,2734,sampled
1769940000000,2026-02-01 18:00:00,2750,sampled
1769949000000,2026-02-01 20:30:00,2734,sampled
1769961600000,2026-02-02 00:00:00,2679,sampled
1769972400000,2026-02-02 03:00:00,2078,sampled
1769983200000,2026-02-02 06:00:00,1908,sampled
1769994000000,2026-02-02 09:00:00,2282,sampled
1770004800000,2026-02-02 12:00:00,2287,sampled
1770015600000,2026-02-02 15:00:00,2322,sampled
1770026400000,2026-02-02 18:00:00,2510,sampled
1770037200000,2026-02-02 21:00:00,2528,sampled
1770046200000,2026-02-02 23:30:00,2563,sampled
1770057000000,2026-02-03 02:30:00,2636,sampled
1770069600000,2026-02-03 06:00:00,1943,sampled
1770080400000,2026-02-03 09:00:00,2265,sampled
1770091200000,2026-02-03 12:00:00,2258,sampled
1770102000000,2026-02-03 15:00:00,2297,sampled
1770112800000,2026-02-03 18:00:00,2507,sampled
1770123600000,2026-02-03 21:00:00,2527,sampled
1770134400000,2026-02-04 00:00:00,2592,sampled
1770145200000,2026-02-04 03:00:00,2032,sampled
1770156000000,2026-02-04 06:00:00,1970,sampled
1770166800000,2026-02-04 09:00:00,2289,sampled
1770177600000,2026-02-04 12:00:00,2240,sampled
1770188400000,2026-02-04 15:00:00,2311,sampled
1770199200000,2026-02-04 18:00:00,2508,sampled
1770210000000,2026-02-04 21:00:00,2528,sampled
1770220800000,2026-02-05 00:00:00,2580,sampled
1770231600000,2026-02-05 03:00:00,2019,sampled
1770242400000,2026-02-05 06:00:00,1939,sampled
1770253200000,2026-02-05 09:00:00,2261,sampled
1770264000000,2026-02-05 12:00:00,2233,sampled
1770274800000,2026-02-05 15:00:00,2292,sampled
1770285600000,2026-02-05 18:00:00,2419,sampled
1770296400000,2026-02-05 21:00:00,2435,sampled
1770307200000,2026-02-06 00:00:00,2446,sampled
1770318000000,2026-02-06 03:00:00,1953,sampled
1770328800000,2026-02-06 06:00:00,1882,sampled
1770339600000,2026-02-06 09:00:00,2115,sampled
1770348600000,2026-02-06 11:30:00,2129,sampled
1770361200000,2026-02-06 15:00:00,2202,sampled
1770372000000,2026-02-06 18:00:00,2349,sampled
1770382800000,2026-02-06 21:00:00,2368,sampled
1770393600000,2026-02-07 00:00:00,2383,sampled
