时间戳,时间,均价,数据类型
1768892400000,2026-01-20 15:00:00,1573,sampled
1768903200000,2026-01-20 18:00:00,1643,sampled
1768914000000,2026-01-20 21:00:00,1635,sampled
1768924800000,2026-01-21 00:00:00,1685,sampled
1768933800000,2026-01-21 02:30:00,1709,sampled
1768946400000,2026-01-21 06:00:00,1603,sampled
1768957200000,2026-01-21 09:00:00,1567,sampled
1768978800000,2026-01-21 15:00:00,1573,sampled
1768989600000,2026-01-21 18:00:00,1687,sampled
1769000400000,2026-01-21 21:00:00,1681,sampled
1769011200000,2026-01-22 00:00:00,1732,sampled
1769022000000,2026-01-22 03:00:00,1665,sampled
1769032800000,2026-01-22 06:00:00,1669,sampled
1769043600000,2026-01-22 09:00:00,1640,sampled
1769054400000,2026-01-22 12:00:00,1623,sampled
1769065200000,2026-01-22 15:00:00,1675,sampled
1769076000000,2026-01-22 18:00:00,1718,sampled
1769086800000,2026-01-22 21:00:00,1710,sampled
1769097600000,2026-01-23 00:00:00,1786,sampled
1769108400000,2026-01-23 03:00:00,1629,sampled
1769119200000,2026-01-23 06:00:00,1663,sampled
1769130000000,2026-01-23 09:00:00,1643,sampled
1769140800000,2026-01-23 12:00:00,1605,sampled
1769151600000,2026-01-23 15:00:00,1641,sampled
1769162400000,2026-01-23 18:00:00,1711,sampled
1769173200000,2026-01-23 21:00:00,1647,sampled
1769184000000,2026-01-24 00:00:00,1753,sampled
1769194800000,2026-01-24 03:00:00,1603,sampled
1769205600000,2026-01-24 06:00:00,1637,sampled
1769216400000,2026-01-24 09:00:00,1658,sampled
1769227200000,2026-01-24 12:00:00,1681,sampled
1769238000000,2026-01-24 15:00:00,1682,sampled
1769248800000,2026-01-24 18:00:00,1755,sampled
1769259600000,2026-01-24 21:00:00,1756,sampled
1769270400000,2026-01-25 00:00:00,1789,sampled
1769281200000,2026-01-25 03:00:00,1664,sampled
1769292000000,2026-01-25 06:00:00,1686,sampled
1769302800000,2026-01-25 09:00:00,1683,sampled
